county_name,FIPS,state,threshold,total_events,number_of_compound_events,frequency_count_Percentiles_precip,frequency_count_Percentiles_discharge,frequency_count_Percentiles_soil_moisture,frequency_count_surge_percentiles,frequency_count_waveHs_percentiles,compound_loss_property_damage,compound_loss_crop_damage,compound_loss_injuries,compound_loss_fatalities,percentage_CE,loss_percentage_compound_property_damage,loss_percentage_compound_crop_damage,loss_percentage_compound_injuries,loss_percentage_compound_fatalities,number_of_compound_events_sum,percentage_contribution_precip,percentage_contribution_discharge,percentage_contribution_moisture,percentage_contribution_surge,percentage_contribution_waveHs
Accomack_County,51001,VA,0.95,23,17,14,14,15,13,13,45245153.83,0,0,0,73.91,97.64,0,0,0,17,82.35,82.35,88.24,76.47,76.47
Alexandria_city,51510,VA,0.95,17,13,11,11,11,6,5,7232473.39,1849992.47,0.41,0.12,76.47,98.9,100,100,100,13,84.62,84.62,84.62,46.15,38.46
Anne_Arundel_County,24003,MD,0.95,37,28,27,26,21,4,4,12905278.31,0,0.11,2,75.68,98.13,0,100,100,28,96.43,92.86,75,14.29,14.29
Aransas_County,48007,TX,0.95,20,14,13,8,12,3,3,213563620.2,14455.3,0,0,70,99.63,67.6,0,0,14,92.86,57.14,85.71,21.43,21.43
Arlington_County,51013,VA,0.95,19,15,13,13,13,8,11,10506653.73,1849992.47,0,0,78.95,98.93,100,0,0,15,86.67,86.67,86.67,53.33,73.33
Atlantic_County,34001,NJ,0.95,28,25,20,17,14,17,18,596206300.9,0,16.67,0,89.29,100,0,100,0,25,80,68,56,68,72
Baldwin_County,1003,AL,0.95,48,41,39,30,37,12,10,49514222.72,5675480.01,7.89,2,85.42,97.36,100,100,66.67,41,95.12,73.17,90.24,29.27,24.39
Baltimore_city,24510,MD,0.95,21,11,10,10,9,4,4,4079576.11,0,0,4,52.38,41.64,0,0,100,11,90.91,90.91,81.82,36.36,36.36
Baltimore_County,24005,MD,0.95,42,27,25,26,22,4,4,14688038.67,134.28,1.11,2,64.29,71.85,100,89.52,50,27,92.59,96.3,81.48,14.81,14.81
Barnstable_County,25001,MA,0.95,48,30,23,18,19,23,22,25261264.16,220625.53,0.07,0,62.5,98.89,100,100,0,30,76.67,60,63.33,76.67,73.33
Bay_County,12005,FL,0.95,31,29,26,28,24,14,14,799220638.9,728616.97,0,6,93.55,99.99,100,0,100,29,89.66,96.55,82.76,48.28,48.28
Beaufort_County,37013,NC,0.95,13,12,12,12,12,2,2,93156279.64,65780276.21,0,0.14,92.31,99.99,100,0,100,12,100,100,100,16.67,16.67
Beaufort_County,45013,SC,0.95,34,21,19,20,20,3,4,24179832.48,542395.04,0,0,61.76,99.03,99.93,0,0,21,90.48,95.24,95.24,14.29,19.05
Bergen_County,34003,NJ,0.95,11,9,9,9,8,2,2,94787089.12,0,0,4,81.82,99.23,0,0,94.56,9,100,100,88.89,22.22,22.22
Bertie_County,37015,NC,0.95,11,9,9,9,9,1,1,10724031.18,1261383.67,0,1.14,81.82,99.88,100,0,100,9,100,100,100,11.11,11.11
Brazoria_County,48039,TX,0.95,67,51,48,45,43,9,8,3307363905,7764577.12,0,0,76.12,99.98,100,0,0,51,94.12,88.24,84.31,17.65,15.69
Brevard_County,12009,FL,0.95,18,15,13,14,13,4,4,145965554.6,0,0,1,83.33,99.94,0,0,100,15,86.67,93.33,86.67,26.67,26.67
Bristol_County,25005,MA,0.95,76,47,45,44,35,11,11,63445479.5,220625.53,2.07,0,61.84,96.49,100,100,0,47,95.74,93.62,74.47,23.4,23.4
Bristol_County,44001,RI,0.95,19,17,15,15,15,9,10,7771162.39,0,0,0,89.47,99.83,0,0,0,17,88.24,88.24,88.24,52.94,58.82
Bronx_County,36005,NY,0.95,8,6,5,6,5,4,5,22931573.35,5938.73,7.24,2.08,75,94.66,100,94.39,88.14,6,83.33,100,83.33,66.67,83.33
Broward_County,12011,FL,0.95,26,24,24,22,18,3,3,98485951.2,38888727.72,0,0,92.31,99.98,100,0,0,24,100,91.67,75,12.5,12.5
Brunswick_County,37019,NC,0.95,33,27,27,26,26,1,1,6129596.43,201495.08,0,0.14,81.82,69.5,100,0,100,27,100,96.3,96.3,3.7,3.7
Bryan_County,13029,GA,0.95,9,6,6,6,6,0,0,64986.7,0,0,0,66.67,85.63,0,0,0,6,100,100,100,0,0
Burlington_County,34005,NJ,0.95,23,15,14,14,12,2,2,160974787.5,20909.94,0,0,65.22,99.72,100,0,0,15,93.33,93.33,80,13.33,13.33
Calhoun_County,48057,TX,0.95,15,13,10,7,11,5,6,42483196.67,134258.94,0,0,86.67,99.86,100,0,0,13,76.92,53.85,84.62,38.46,46.15
Calvert_County,24009,MD,0.95,10,8,8,6,8,2,2,6396307.55,0,0.11,0,80,99.89,0,100,0,8,100,75,100,25,25
Camden_County,13039,GA,0.95,12,8,8,8,8,0,0,620160.05,87.43,0,0,66.67,10.6,0,0,0,8,100,100,100,0,0
Camden_County,37029,NC,0.95,8,7,6,6,6,3,3,656198.43,200897.27,0,0.14,87.5,99.09,100,0,100,7,85.71,85.71,85.71,42.86,42.86
Camden_County,34007,NJ,0.95,24,14,13,14,10,1,1,37841915.6,0,0,0,58.33,90.74,0,0,0,14,92.86,100,71.43,7.14,7.14
Cameron_Parish,22023,LA,0.95,19,17,14,12,13,6,5,120742800.1,209807.71,3.13,0.11,89.47,99.96,100,100,100,17,82.35,70.59,76.47,35.29,29.41
Cameron_County,48061,TX,0.95,49,45,43,43,39,1,1,368255915.6,106335188.5,0,1,91.84,99.71,100,0,100,45,95.56,95.56,86.67,2.22,2.22
Cape_May_County,34009,NJ,0.95,29,26,18,12,15,22,22,396871413.7,10.39,16.67,0,89.66,99.96,100,100,0,26,69.23,46.15,57.69,84.62,84.62
Caroline_County,24011,MD,0.95,11,9,9,6,9,2,2,7878754.57,12079.71,1,0,81.82,60.5,0.93,100,0,9,100,66.67,100,22.22,22.22
Carteret_County,37031,NC,0.95,13,10,9,9,8,3,4,57750415.09,201495.08,0,0.14,76.92,99.94,100,0,100,10,90,90,80,30,40
Cecil_County,24015,MD,0.95,18,13,13,12,13,5,5,8551525.83,0,4,0,72.22,73.17,0,100,0,13,100,92.31,100,38.46,38.46
Chambers_County,48071,TX,0.95,42,32,30,22,26,10,11,373574740,15671.93,0,1,76.19,99.88,100,0,100,32,93.75,68.75,81.25,31.25,34.38
Charles_City_County,51036,VA,0.95,4,4,3,3,3,3,3,123443.82,0,0,0,100,100,0,0,0,4,75,75,75,75,75
Charleston_County,45019,SC,0.95,119,82,78,73,76,2,2,36657325.07,554358.89,0,1,68.91,96.43,99.93,0,100,82,95.12,89.02,92.68,2.44,2.44
Charles_County,24017,MD,0.95,15,11,11,10,10,1,1,5888521.05,0,0.11,0,73.33,94.75,0,100,0,11,100,90.91,90.91,9.09,9.09
Charlotte_County,12015,FL,0.95,26,22,22,22,20,7,7,37892112.61,8396.11,0,1,84.62,99.85,100,0,100,22,100,100,90.91,31.82,31.82
Chatham_County,13051,GA,0.95,37,20,17,19,17,4,4,24022294.52,874.34,2,0,54.05,94.41,100,100,0,20,85,95,85,20,20
Chesapeake_city,51550,VA,0.95,21,18,14,12,13,5,5,24184333.69,848389.12,0,0,85.71,99.89,100,0,0,18,77.78,66.67,72.22,27.78,27.78
Chowan_County,37041,NC,0.95,8,6,6,6,6,2,2,649410.38,200897.27,0,0.14,75,97.41,100,0,100,6,100,100,100,33.33,33.33
Citrus_County,12017,FL,0.95,29,22,17,18,19,6,5,225179430,0,0,0.57,75.86,99.92,0,0,100,22,77.27,81.82,86.36,27.27,22.73
Colleton_County,45029,SC,0.95,28,21,21,18,20,2,3,18738544.8,542437.34,0,0,75,99.66,99.93,0,0,21,100,85.71,95.24,9.52,14.29
