county_name,FIPS,state,threshold,total_events,total_loss_property_damage,total_loss_crop_damage,total_loss_injuries,total_loss_fatalities,number_of_compound_events,frequency_count_Percentiles_precip,frequency_count_Percentiles_discharge,frequency_count_Percentiles_soil_moisture,frequency_count_surge_percentiles,frequency_count_waveHs_percentiles,compound_loss_property_damage,compound_loss_crop_damage,compound_loss_injuries,compound_loss_fatalities,percentage_CE,loss_percentage_compound_property_damage,loss_percentage_compound_crop_damage,loss_percentage_compound_injuries,loss_percentage_compound_fatalities,number_of_compound_events_sum,percentage_contribution_precip,percentage_contribution_discharge,percentage_contribution_moisture,percentage_contribution_surge,percentage_contribution_waveHs
Accomack_County,51001,VA,0.9,23.0,46340306.84,10449777.48,0.0,1.0,21.0,19.0,16.0,19.0,15.0,15.0,46330630.14,10449777.48,0.0,1.0,91.3,99.98,100.0,0.0,100.0,21.0,90.48,76.19,90.48,71.43,71.43
Alexandria_city,51510,VA,0.9,17.0,7313066.25,1849992.47,0.41,0.12,15.0,14.0,12.0,13.0,7.0,7.0,7258304.95,1849992.47,0.41,0.12,88.24,99.25,100.0,100.0,100.0,15.0,93.33,80.0,86.67,46.67,46.67
Anne_Arundel_County,24003,MD,0.9,37.0,13150541.29,0.0,0.11,2.0,31.0,30.0,30.0,29.0,4.0,5.0,12984175.46,0.0,0.11,2.0,83.78,98.73,0.0,100.0,100.0,31.0,96.77,96.77,93.55,12.9,16.13
Aransas_County,48007,TX,0.9,20.0,214361550.56,21383.83,0.0,0.0,15.0,14.0,12.0,13.0,3.0,3.0,213737853.27,14455.3,0.0,0.0,75.0,99.71,67.6,0.0,0.0,15.0,93.33,80.0,86.67,20.0,20.0
Arlington_County,51013,VA,0.9,19.0,10620225.88,1849992.47,1.0,1.0,17.0,15.0,15.0,14.0,13.0,14.0,10517021.08,1849992.47,0.0,0.0,89.47,99.03,100.0,0.0,0.0,17.0,88.24,88.24,82.35,76.47,82.35
Atlantic_County,34001,NJ,0.9,28.0,596223232.14,0.0,16.67,1.0,25.0,23.0,17.0,18.0,18.0,18.0,596206300.87,0.0,16.67,0.0,89.29,100.0,0.0,100.0,0.0,25.0,92.0,68.0,72.0,72.0,72.0
Baldwin_County,1003,AL,0.9,48.0,50854488.81,5675480.01,7.89,3.0,45.0,43.0,37.0,41.0,13.0,14.0,50820440.77,5675480.01,7.89,3.0,93.75,99.93,100.0,100.0,100.0,45.0,95.56,82.22,91.11,28.89,31.11
Baltimore_city,24510,MD,0.9,21.0,9798107.88,0.0,1.0,4.0,13.0,13.0,13.0,11.0,4.0,4.0,7188439.4,0.0,0.0,4.0,61.9,73.37,0.0,0.0,100.0,13.0,100.0,100.0,84.62,30.77,30.77
Baltimore_County,24005,MD,0.9,42.0,20442409.5,134.28,1.24,4.0,31.0,30.0,30.0,29.0,4.0,4.0,16342397.15,134.28,1.24,4.0,73.81,79.94,100.0,100.0,100.0,31.0,96.77,96.77,93.55,12.9,12.9
Barnstable_County,25001,MA,0.9,48.0,25544149.78,220625.53,0.07,0.0,32.0,29.0,23.0,24.0,24.0,23.0,25333182.44,220625.53,0.07,0.0,66.67,99.17,100.0,100.0,0.0,32.0,90.62,71.88,75.0,75.0,71.88
Bay_County,12005,FL,0.9,31.0,799268337.43,728616.97,0.0,6.0,29.0,29.0,29.0,29.0,15.0,15.0,799220638.91,728616.97,0.0,6.0,93.55,99.99,100.0,0.0,100.0,29.0,100.0,100.0,100.0,51.72,51.72
Beaufort_County,37013,NC,0.9,13.0,93163067.69,65780276.21,0.0,0.14,12.0,12.0,12.0,12.0,2.0,2.0,93156279.64,65780276.21,0.0,0.14,92.31,99.99,100.0,0.0,100.0,12.0,100.0,100.0,100.0,16.67,16.67
Beaufort_County,45013,SC,0.9,34.0,24415755.58,542797.38,0.07,0.0,23.0,22.0,21.0,22.0,4.0,4.0,24191920.1,542395.04,0.0,0.0,67.65,99.08,99.93,0.0,0.0,23.0,95.65,91.3,95.65,17.39,17.39
Bergen_County,34003,NJ,0.9,11.0,95518915.84,0.0,1.0,4.23,11.0,10.0,10.0,9.0,3.0,3.0,95518915.84,0.0,1.0,4.23,100.0,100.0,0.0,100.0,100.0,11.0,90.91,90.91,81.82,27.27,27.27
Bertie_County,37015,NC,0.9,11.0,10736837.6,1261383.67,0.0,1.14,11.0,10.0,9.0,10.0,2.0,2.0,10736837.6,1261383.67,0.0,1.14,100.0,100.0,100.0,0.0,100.0,11.0,90.91,81.82,90.91,18.18,18.18
Brazoria_County,48039,TX,0.9,67.0,3308047419.9,7764577.12,0.0,0.0,62.0,59.0,56.0,57.0,10.0,8.0,3307738907.33,7764577.12,0.0,0.0,92.54,99.99,100.0,0.0,0.0,62.0,95.16,90.32,91.94,16.13,12.9
Brevard_County,12009,FL,0.9,18.0,146055799.87,0.0,0.0,1.0,17.0,15.0,15.0,15.0,4.0,4.0,146008102.73,0.0,0.0,1.0,94.44,99.97,0.0,0.0,100.0,17.0,88.24,88.24,88.24,23.53,23.53
Bristol_County,25005,MA,0.9,76.0,65752278.58,220625.53,2.07,0.0,52.0,50.0,49.0,47.0,11.0,11.0,65152329.55,220625.53,2.07,0.0,68.42,99.09,100.0,100.0,0.0,52.0,96.15,94.23,90.38,21.15,21.15
Bristol_County,44001,RI,0.9,19.0,7784352.65,0.0,0.0,0.0,18.0,17.0,16.0,17.0,13.0,11.0,7773065.14,0.0,0.0,0.0,94.74,99.85,0.0,0.0,0.0,18.0,94.44,88.89,94.44,72.22,61.11
Bronx_County,36005,NY,0.9,8.0,24226387.74,5938.73,7.67,2.36,8.0,5.0,7.0,7.0,6.0,7.0,24226387.74,5938.73,7.67,2.36,100.0,100.0,100.0,100.0,100.0,8.0,62.5,87.5,87.5,75.0,87.5
Broward_County,12011,FL,0.9,26.0,98502214.06,38888727.72,0.0,0.0,26.0,26.0,24.0,22.0,3.0,3.0,98502214.06,38888727.72,0.0,0.0,100.0,100.0,100.0,0.0,0.0,26.0,100.0,92.31,84.62,11.54,11.54
Brunswick_County,37019,NC,0.9,33.0,8820130.25,201495.08,0.0,0.14,32.0,31.0,30.0,30.0,3.0,1.0,6779543.78,201495.08,0.0,0.14,96.97,76.86,100.0,0.0,100.0,32.0,96.88,93.75,93.75,9.38,3.12
Bryan_County,13029,GA,0.9,9.0,75892.21,10905.51,0.0,0.0,7.0,7.0,6.0,7.0,0.0,0.0,74900.8,0.0,0.0,0.0,77.78,98.69,0.0,0.0,0.0,7.0,100.0,85.71,100.0,0.0,0.0
Burlington_County,34005,NJ,0.9,23.0,161422352.55,20909.94,0.0,0.0,18.0,18.0,17.0,16.0,2.0,2.0,161206254.48,20909.94,0.0,0.0,78.26,99.87,100.0,0.0,0.0,18.0,100.0,94.44,88.89,11.11,11.11
Calhoun_County,48057,TX,0.9,15.0,42543409.14,134258.94,0.0,0.0,13.0,10.0,9.0,12.0,5.0,6.0,42483196.67,134258.94,0.0,0.0,86.67,99.86,100.0,0.0,0.0,13.0,76.92,69.23,92.31,38.46,46.15
Calvert_County,24009,MD,0.9,10.0,6403310.47,0.0,0.11,0.0,8.0,8.0,7.0,8.0,2.0,2.0,6396307.55,0.0,0.11,0.0,80.0,99.89,0.0,100.0,0.0,8.0,100.0,87.5,100.0,25.0,25.0
Camden_County,13039,GA,0.9,12.0,5849590.55,4300967.99,0.0,0.0,10.0,10.0,9.0,10.0,0.0,0.0,4922741.1,4300967.99,0.0,0.0,83.33,84.16,100.0,0.0,0.0,10.0,100.0,90.0,100.0,0.0,0.0
