county_name,FIPS,state,threshold,total_events,total_loss_property_damage,total_loss_crop_damage,total_loss_injuries,total_loss_fatalities,number_of_compound_events,frequency_count_Percentiles_precip,frequency_count_Percentiles_discharge,frequency_count_Percentiles_soil_moisture,frequency_count_surge_percentiles,frequency_count_waveHs_percentiles,compound_loss_property_damage,compound_loss_crop_damage,compound_loss_injuries,compound_loss_fatalities,percentage_CE,loss_percentage_compound_property_damage,loss_percentage_compound_crop_damage,loss_percentage_compound_injuries,loss_percentage_compound_fatalities,number_of_compound_events_sum,percentage_contribution_precip,percentage_contribution_discharge,percentage_contribution_moisture,percentage_contribution_surge,percentage_contribution_waveHs
Camden_County,37029,NC,0.9,8.0,662216.8,200897.27,0.0,0.14,7.0,6.0,6.0,6.0,3.0,3.0,656198.43,200897.27,0.0,0.14,87.5,99.09,100.0,0.0,100.0,7.0,85.71,85.71,85.71,42.86,42.86
Camden_County,34007,NJ,0.9,24.0,41703644.32,20899.55,1.0,1.0,17.0,16.0,17.0,15.0,1.0,1.0,40162293.1,20899.55,0.0,0.0,70.83,96.3,100.0,0.0,0.0,17.0,94.12,100.0,88.24,5.88,5.88
Cameron_Parish,22023,LA,0.9,19.0,120785543.83,209807.71,3.13,0.11,19.0,16.0,14.0,16.0,7.0,7.0,120785543.83,209807.71,3.13,0.11,100.0,100.0,100.0,100.0,100.0,19.0,84.21,73.68,84.21,36.84,36.84
Cameron_County,48061,TX,0.9,49.0,369345021.91,106335188.48,0.0,1.0,46.0,45.0,45.0,41.0,1.0,1.0,368303484.3,106335188.48,0.0,1.0,93.88,99.72,100.0,0.0,100.0,46.0,97.83,97.83,89.13,2.17,2.17
Cape_May_County,34009,NJ,0.9,29.0,397040726.42,10.39,16.67,0.0,26.0,24.0,16.0,19.0,23.0,23.0,396871413.74,10.39,16.67,0.0,89.66,99.96,100.0,100.0,0.0,26.0,92.31,61.54,73.08,88.46,88.46
Caroline_County,24011,MD,0.9,11.0,13021699.98,1297568.21,1.0,0.0,9.0,9.0,8.0,9.0,2.0,2.0,7878754.57,12079.71,1.0,0.0,81.82,60.5,0.93,100.0,0.0,9.0,100.0,88.89,100.0,22.22,22.22
Carteret_County,37031,NC,0.9,13.0,57786748.29,201495.08,0.0,0.14,13.0,12.0,12.0,11.0,3.0,4.0,57786748.29,201495.08,0.0,0.14,100.0,100.0,100.0,0.0,100.0,13.0,92.31,92.31,84.62,23.08,30.77
Cecil_County,24015,MD,0.9,18.0,11687682.58,134.28,4.0,0.0,17.0,17.0,16.0,17.0,5.0,5.0,11686691.17,134.28,4.0,0.0,94.44,99.99,100.0,100.0,0.0,17.0,100.0,94.12,100.0,29.41,29.41
Chambers_County,48071,TX,0.9,42.0,374016214.16,15671.93,0.0,1.0,37.0,34.0,30.0,30.0,11.0,13.0,373602357.95,15671.93,0.0,1.0,88.1,99.89,100.0,0.0,100.0,37.0,91.89,81.08,81.08,29.73,35.14
Charles_City_County,51036,VA,0.9,4.0,123443.82,0.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,123443.82,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,4.0,100.0,75.0,100.0,75.0,75.0
Charleston_County,45019,SC,0.9,119.0,38013913.72,554727.87,3.07,1.0,94.0,93.0,92.0,91.0,2.0,2.0,37407268.89,554358.89,3.0,1.0,78.99,98.4,99.93,97.72,100.0,94.0,98.94,97.87,96.81,2.13,2.13
Charles_County,24017,MD,0.9,15.0,6214856.47,13427.69,0.11,0.0,12.0,12.0,12.0,12.0,1.0,1.0,5901948.74,13427.69,0.11,0.0,80.0,94.97,100.0,100.0,0.0,12.0,100.0,100.0,100.0,8.33,8.33
Charlotte_County,12015,FL,0.9,26.0,37947759.28,8396.11,0.0,1.0,24.0,24.0,23.0,23.0,8.0,7.0,37923910.71,8396.11,0.0,1.0,92.31,99.94,100.0,0.0,100.0,24.0,100.0,95.83,95.83,33.33,29.17
Chatham_County,13051,GA,0.9,37.0,25444454.8,874.34,2.0,0.0,28.0,25.0,27.0,25.0,4.0,4.0,25164455.22,874.34,2.0,0.0,75.68,98.9,100.0,100.0,0.0,28.0,89.29,96.43,89.29,14.29,14.29
Chesapeake_city,51550,VA,0.9,21.0,24211129.18,848389.12,0.0,0.0,21.0,18.0,16.0,16.0,5.0,5.0,24211129.18,848389.12,0.0,0.0,100.0,100.0,100.0,0.0,0.0,21.0,85.71,76.19,76.19,23.81,23.81
Chowan_County,37041,NC,0.9,8.0,666648.21,200897.27,0.0,0.14,8.0,7.0,6.0,7.0,3.0,3.0,666648.21,200897.27,0.0,0.14,100.0,100.0,100.0,0.0,100.0,8.0,87.5,75.0,87.5,37.5,37.5
Citrus_County,12017,FL,0.9,29.0,225349018.42,0.0,0.0,0.57,25.0,22.0,24.0,22.0,7.0,5.0,225242008.42,0.0,0.0,0.57,86.21,99.95,0.0,0.0,100.0,25.0,88.0,96.0,88.0,28.0,20.0
Colleton_County,45029,SC,0.9,28.0,18802203.98,542839.68,0.07,0.0,23.0,22.0,22.0,22.0,3.0,3.0,18751588.67,542437.34,0.0,0.0,82.14,99.73,99.93,0.0,0.0,23.0,95.65,95.65,95.65,13.04,13.04
Collier_County,12021,FL,0.9,17.0,15396110.24,62926478.87,0.0,0.0,17.0,16.0,17.0,17.0,5.0,5.0,15396110.24,62926478.87,0.0,0.0,100.0,100.0,100.0,0.0,0.0,17.0,94.12,100.0,100.0,29.41,29.41
Craven_County,37049,NC,0.9,15.0,29006872.03,795733.44,0.0,1.14,14.0,13.0,14.0,11.0,1.0,1.0,29005664.06,795733.44,0.0,0.14,93.33,100.0,100.0,0.0,12.28,14.0,92.86,100.0,78.57,7.14,7.14
Cumberland_County,23005,ME,0.9,107.0,76362989.66,16167.93,0.0,1.0,99.0,85.0,76.0,79.0,34.0,35.0,76134141.43,16167.93,0.0,1.0,92.52,99.7,100.0,0.0,100.0,99.0,85.86,76.77,79.8,34.34,35.35
Cumberland_County,34011,NJ,0.9,10.0,72741988.84,0.0,2.0,0.0,9.0,9.0,9.0,8.0,1.0,1.0,72740943.86,0.0,2.0,0.0,90.0,100.0,0.0,100.0,0.0,9.0,100.0,100.0,88.89,11.11,11.11
Currituck_County,37053,NC,0.9,16.0,19079543.32,200897.27,0.0,0.14,15.0,14.0,14.0,14.0,10.0,10.0,12705332.51,200897.27,0.0,0.14,93.75,66.59,100.0,0.0,100.0,15.0,93.33,93.33,93.33,66.67,66.67
Dare_County,37055,NC,0.9,30.0,123039725.35,200897.27,0.0,0.14,29.0,20.0,17.0,18.0,23.0,23.0,116665514.54,200897.27,0.0,0.14,96.67,94.82,100.0,0.0,100.0,29.0,68.97,58.62,62.07,79.31,79.31
Delaware_County,42045,PA,0.9,31.0,62890739.7,62923.58,17.62,1.0,30.0,29.0,30.0,26.0,2.0,2.0,62612625.63,62923.58,17.62,1.0,96.77,99.56,100.0,100.0,100.0,30.0,96.67,100.0,86.67,6.67,6.67
Dixie_County,12029,FL,0.9,14.0,86093450.83,0.0,0.0,0.0,13.0,13.0,11.0,12.0,7.0,7.0,85656666.23,0.0,0.0,0.0,92.86,99.49,0.0,0.0,0.0,13.0,100.0,84.62,92.31,53.85,53.85
Dorchester_County,24019,MD,0.9,14.0,13521396.69,9914.1,0.11,0.0,13.0,11.0,10.0,12.0,7.0,7.0,13497612.32,9914.1,0.11,0.0,92.86,99.82,100.0,100.0,0.0,13.0,84.62,76.92,92.31,53.85,53.85
Duval_County,12031,FL,0.9,46.0,5919178.77,2304.22,0.0,2.0,42.0,42.0,38.0,38.0,4.0,3.0,5899297.62,2304.22,0.0,2.0,91.3,99.66,100.0,0.0,100.0,42.0,100.0,90.48,90.48,9.52,7.14
Escambia_County,12033,FL,0.9,28.0,175713300.87,728616.97,0.0,1.0,28.0,24.0,25.0,24.0,8.0,8.0,175713300.87,728616.97,0.0,1.0,100.0,100.0,100.0,0.0,100.0,28.0,85.71,89.29,85.71,28.57,28.57
Essex_County,25009,MA,0.9,78.0,79334675.69,347363.84,3.07,3.0,69.0,67.0,61.0,50.0,23.0,21.0,78580324.92,347363.84,3.07,3.0,88.46,99.05,100.0,100.0,100.0,69.0,97.1,88.41,72.46,33.33,30.43
Essex_County,34013,NJ,0.9,11.0,36949764.23,0.0,0.0,2.23,11.0,9.0,9.0,8.0,3.0,3.0,36949764.23,0.0,0.0,2.23,100.0,100.0,0.0,0.0,100.0,11.0,81.82,81.82,72.73,27.27,27.27
Essex_County,51057,VA,0.9,11.0,4949017.3,31110.98,0.41,0.12,11.0,11.0,10.0,11.0,5.0,5.0,4949017.3,31110.98,0.41,0.12,100.0,100.0,100.0,100.0,100.0,11.0,100.0,90.91,100.0,45.45,45.45
Fairfax_County,51059,VA,0.9,32.0,21267052.68,1892489.08,1.0,4.0,28.0,28.0,26.0,24.0,1.0,1.0,21212447.31,1892489.08,1.0,4.0,87.5,99.74,100.0,100.0,100.0,28.0,100.0,92.86,85.71,3.57,3.57
Fairfield_County,9001,CT,0.9,21.0,67751037.64,1726763.89,0.5,2.0,20.0,19.0,18.0,19.0,5.0,4.0,65251259.68,1726763.89,0.5,2.0,95.24,96.31,100.0,100.0,100.0,20.0,95.0,90.0,95.0,25.0,20.0
Flagler_County,12035,FL,0.9,19.0,5882763.58,0.0,0.0,0.0,14.0,13.0,13.0,12.0,3.0,3.0,5875215.58,0.0,0.0,0.0,73.68,99.87,0.0,0.0,0.0,14.0,92.86,92.86,85.71,21.43,21.43
Franklin_County,12037,FL,0.9,19.0,220552735.31,728616.97,0.0,0.0,19.0,16.0,18.0,16.0,14.0,14.0,220552735.31,728616.97,0.0,0.0,100.0,100.0,100.0,0.0,0.0,19.0,84.21,94.74,84.21,73.68,73.68
Galveston_County,48167,TX,0.9,85.0,15225672325.57,17318.27,0.0,16.0,82.0,78.0,72.0,70.0,13.0,14.0,15225454235.88,17318.27,0.0,16.0,96.47,100.0,100.0,0.0,100.0,82.0,95.12,87.8,85.37,15.85,17.07
Gates_County,37073,NC,0.9,9.0,873975.31,9378637.01,0.0,1.14,8.0,8.0,8.0,8.0,1.0,1.0,867187.26,9378637.01,0.0,1.14,88.89,99.22,100.0,0.0,100.0,8.0,100.0,100.0,100.0,12.5,12.5
Georgetown_County,45043,SC,0.9,47.0,5775534.96,498538.59,1.07,2.0,39.0,39.0,35.0,36.0,6.0,6.0,5652462.69,498169.61,1.0,2.0,82.98,97.87,99.93,93.46,100.0,39.0,100.0,89.74,92.31,15.38,15.38
Gloucester_County,34015,NJ,0.9,22.0,28080731.09,488686.33,0.0,1.0,17.0,17.0,17.0,15.0,1.0,1.0,27928930.84,20899.55,0.0,1.0,77.27,99.46,4.28,0.0,100.0,17.0,100.0,100.0,88.24,5.88,5.88
Gloucester_County,51073,VA,0.9,16.0,25480547.59,1693126.66,0.41,0.12,16.0,16.0,15.0,15.0,11.0,11.0,25480547.59,1693126.66,0.41,0.12,100.0,100.0,100.0,100.0,100.0,16.0,100.0,93.75,93.75,68.75,68.75
Glynn_County,13127,GA,0.9,8.0,4959171.64,4300880.56,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,4869498.81,4300880.56,0.0,0.0,87.5,98.19,100.0,0.0,0.0,7.0,100.0,100.0,100.0,0.0,0.0
Gulf_County,12045,FL,0.9,18.0,169452322.52,728616.97,0.0,1.0,18.0,16.0,15.0,16.0,14.0,14.0,169452322.52,728616.97,0.0,1.0,100.0,100.0,100.0,0.0,100.0,18.0,88.89,83.33,88.89,77.78,77.78
Hampton_city,51650,VA,0.9,19.0,14706736.76,0.0,0.41,0.12,19.0,19.0,17.0,17.0,18.0,15.0,14706736.76,0.0,0.41,0.12,100.0,100.0,0.0,100.0,100.0,19.0,100.0,89.47,89.47,94.74,78.95
Hancock_County,23009,ME,0.9,16.0,102088042.48,15208.58,0.0,0.0,14.0,14.0,13.0,14.0,2.0,2.0,94409852.19,7604.29,0.0,0.0,87.5,92.48,50.0,0.0,0.0,14.0,100.0,92.86,100.0,14.29,14.29
Hancock_County,28045,MS,0.9,24.0,4525520184.86,17702190.66,0.0,0.0,23.0,22.0,22.0,22.0,4.0,5.0,4525358717.89,17702190.66,0.0,0.0,95.83,100.0,100.0,0.0,0.0,23.0,95.65,95.65,95.65,17.39,21.74
Harford_County,24025,MD,0.9,26.0,7322993.48,134.28,15.13,2.0,20.0,18.0,19.0,18.0,2.0,2.0,5722245.03,134.28,15.0,2.0,76.92,78.14,100.0,99.14,100.0,20.0,90.0,95.0,90.0,10.0,10.0
Harrison_County,28047,MS,0.9,43.0,7516372838.51,17702190.66,0.0,2.0,42.0,41.0,35.0,40.0,11.0,12.0,7516371964.17,17702190.66,0.0,2.0,97.67,100.0,100.0,0.0,100.0,42.0,97.62,83.33,95.24,26.19,28.57
Harris_County,48201,TX,0.9,155.0,14170461884.27,155354.71,4.0,70.25,142.0,140.0,137.0,125.0,7.0,6.0,14166949667.21,155354.71,4.0,70.25,91.61,99.98,100.0,100.0,100.0,142.0,98.59,96.48,88.03,4.93,4.23
Hernando_County,12053,FL,0.9,29.0,29155082.57,397476.2,0.0,1.57,26.0,23.0,23.0,24.0,6.0,5.0,29106149.89,397476.2,0.0,1.57,89.66,99.83,100.0,0.0,100.0,26.0,88.46,88.46,92.31,23.08,19.23
Hertford_County,37091,NC,0.9,9.0,11384418.36,19645261.13,0.0,0.14,8.0,8.0,8.0,8.0,2.0,2.0,11377630.31,19645261.13,0.0,0.14,88.89,99.94,100.0,0.0,100.0,8.0,100.0,100.0,100.0,25.0,25.0
Hillsborough_County,12057,FL,0.9,58.0,38040170.15,645165.36,2.0,1.57,52.0,50.0,52.0,50.0,5.0,5.0,37768752.58,645165.36,2.0,1.57,89.66,99.29,100.0,100.0,100.0,52.0,96.15,100.0,96.15,9.62,9.62
Hopewell_city,51670,VA,0.9,4.0,12424.01,0.0,0.0,0.0,4.0,4.0,3.0,4.0,0.0,0.0,12424.01,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,4.0,100.0,75.0,100.0,0.0,0.0
Horry_County,45051,SC,0.9,73.0,37516594.64,585911.59,0.07,4.0,65.0,63.0,61.0,63.0,10.0,10.0,34343539.18,585569.72,0.07,4.0,89.04,91.54,99.94,100.0,100.0,65.0,96.92,93.85,96.92,15.38,15.38
Hudson_County,34017,NJ,0.9,9.0,10162067.14,0.0,0.0,1.23,9.0,7.0,7.0,7.0,3.0,3.0,10162067.14,0.0,0.0,1.23,100.0,100.0,0.0,0.0,100.0,9.0,77.78,77.78,77.78,33.33,33.33
Hyde_County,37095,NC,0.9,13.0,97374250.81,201495.08,0.0,0.14,13.0,12.0,11.0,12.0,6.0,6.0,97374250.81,201495.08,0.0,0.14,100.0,100.0,100.0,0.0,100.0,13.0,92.31,84.62,92.31,46.15,46.15
Iberia_Parish,22045,LA,0.9,34.0,267739046.86,265430.52,3.13,0.36,25.0,25.0,23.0,23.0,3.0,2.0,267477200.63,265430.52,3.13,0.36,73.53,99.9,100.0,100.0,100.0,25.0,100.0,92.0,92.0,12.0,8.0
Indian_River_County,12061,FL,0.9,10.0,26911192.09,6018366.71,0.0,0.0,9.0,8.0,8.0,8.0,1.0,1.0,26839164.72,6018366.71,0.0,0.0,90.0,99.73,100.0,0.0,0.0,9.0,88.89,88.89,88.89,11.11,11.11
Isle_of_Wight_County,51093,VA,0.9,12.0,5447844.56,1693568.68,0.0,0.0,12.0,10.0,9.0,9.0,6.0,6.0,5447844.56,1693568.68,0.0,0.0,100.0,100.0,100.0,0.0,0.0,12.0,83.33,75.0,75.0,50.0,50.0
Jackson_County,28059,MS,0.9,33.0,3029443953.46,17702190.66,0.0,0.0,32.0,31.0,30.0,29.0,11.0,11.0,3029432130.72,17702190.66,0.0,0.0,96.97,100.0,100.0,0.0,0.0,32.0,96.88,93.75,90.62,34.38,34.38
James_City_County,51095,VA,0.9,13.0,3235630.4,514195.4,1.41,0.12,13.0,13.0,11.0,12.0,2.0,2.0,3235630.4,514195.4,1.41,0.12,100.0,100.0,100.0,100.0,100.0,13.0,100.0,84.62,92.31,15.38,15.38
Jasper_County,45053,SC,0.9,18.0,11742973.23,532347.6,0.07,0.0,14.0,14.0,13.0,13.0,1.0,1.0,11713143.48,531945.26,0.0,0.0,77.78,99.75,99.92,0.0,0.0,14.0,100.0,92.86,92.86,7.14,7.14
Jefferson_County,12065,FL,0.9,9.0,34745974.73,0.0,0.0,0.0,9.0,9.0,7.0,9.0,1.0,1.0,34745974.73,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,9.0,100.0,77.78,100.0,11.11,11.11
Jefferson_Parish,22051,LA,0.9,52.0,557642887.76,209807.71,3.13,4.41,49.0,45.0,47.0,40.0,23.0,23.0,557486287.84,209807.71,3.13,4.41,94.23,99.97,100.0,100.0,100.0,49.0,91.84,95.92,81.63,46.94,46.94
Jefferson_County,48245,TX,0.9,83.0,3766905432.98,1579500.38,1.0,10.0,77.0,73.0,69.0,66.0,14.0,14.0,3765246273.57,1579500.38,1.0,10.0,92.77,99.96,100.0,100.0,100.0,77.0,94.81,89.61,85.71,18.18,18.18
Kenedy_County,48261,TX,0.9,9.0,8295623.8,6928.53,0.0,0.0,6.0,5.0,6.0,5.0,4.0,4.0,7254086.19,6928.53,0.0,0.0,66.67,87.44,100.0,0.0,0.0,6.0,83.33,100.0,83.33,66.67,66.67
Kent_County,10001,DE,0.9,15.0,10105058.04,0.0,2.5,0.0,10.0,9.0,9.0,9.0,7.0,7.0,3733359.21,0.0,2.5,0.0,66.67,36.95,0.0,100.0,0.0,10.0,90.0,90.0,90.0,70.0,70.0
Kent_County,24029,MD,0.9,12.0,17100706.85,134.28,0.0,0.0,11.0,11.0,8.0,11.0,3.0,3.0,17087279.16,0.0,0.0,0.0,91.67,99.92,0.0,0.0,0.0,11.0,100.0,72.73,100.0,27.27,27.27
Kent_County,44003,RI,0.9,28.0,33447655.92,0.0,0.0,0.0,22.0,22.0,21.0,19.0,7.0,7.0,33107692.35,0.0,0.0,0.0,78.57,98.98,0.0,0.0,0.0,22.0,100.0,95.45,86.36,31.82,31.82
King_George_County,51099,VA,0.9,9.0,1232434.17,0.0,0.41,0.12,8.0,8.0,7.0,7.0,2.0,2.0,1231076.26,0.0,0.41,0.12,88.89,99.89,0.0,100.0,100.0,8.0,100.0,87.5,87.5,25.0,25.0
Kings_County,36047,NY,0.9,7.0,22905013.71,5938.73,7.67,5.36,7.0,5.0,6.0,6.0,6.0,6.0,22905013.71,5938.73,7.67,5.36,100.0,100.0,100.0,100.0,100.0,7.0,71.43,85.71,85.71,85.71,85.71
Kleberg_County,48273,TX,0.9,16.0,24651462.99,1579467.86,0.0,0.0,14.0,13.0,12.0,12.0,7.0,5.0,24343533.73,1579467.86,0.0,0.0,87.5,98.75,100.0,0.0,0.0,14.0,92.86,85.71,85.71,50.0,35.71
Knox_County,23013,ME,0.9,44.0,111192097.32,16167.93,2.0,0.0,39.0,39.0,37.0,38.0,13.0,14.0,110907040.3,16167.93,2.0,0.0,88.64,99.74,100.0,100.0,0.0,39.0,100.0,94.87,97.44,33.33,35.9
Lafourche_Parish,22057,LA,0.9,39.0,424924984.67,209807.71,3.13,1.41,34.0,33.0,33.0,31.0,6.0,6.0,421994670.58,0.0,0.0,1.33,87.18,99.31,0.0,0.0,94.33,34.0,97.06,97.06,91.18,17.65,17.65
Lancaster_County,51103,VA,0.9,16.0,27396801.0,0.0,0.41,0.12,16.0,15.0,14.0,16.0,8.0,8.0,27396801.0,0.0,0.41,0.12,100.0,100.0,0.0,100.0,100.0,16.0,93.75,87.5,100.0,50.0,50.0
Lee_County,12071,FL,0.9,37.0,542666129.61,8396.11,0.0,0.0,34.0,34.0,33.0,32.0,7.0,7.0,542551133.88,8396.11,0.0,0.0,91.89,99.98,100.0,0.0,0.0,34.0,100.0,97.06,94.12,20.59,20.59
Levy_County,12075,FL,0.9,15.0,6053452.43,0.0,0.0,0.0,15.0,15.0,12.0,13.0,11.0,10.0,6053452.43,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,15.0,100.0,80.0,86.67,73.33,66.67
